image,label,width,height,x_min,y_min,x_max,y_max,center_x,center_y,split
images (1).jfif,DFSP,441,453,151,148,263,309,207.0,228.5,train
3cbad824fdb2d890bd6eeee36e42d3a5a2e09259.png,DFSP,777,509,126,169,444,395,285.0,282.0,train
dfsp_new_01.jpg,DFSP,421,327,189,151,264,228,226.5,189.5,train
fe.jpg,DFSP,261,236,63,27,229,179,146.0,103.0,train
dfsp_new_06.jpg,DFSP,1212,882,333,282,830,590,581.5,436.0,train
dfs.jpg,DFSP,640,480,246,193,445,367,345.5,280.0,train
d.jpg,DFSP,262,234,41,23,222,197,131.5,110.0,train
gr1.jpeg,DFSP,1052,729,366,158,454,243,410.0,200.5,train
616a066c94c46be062cec541d0f4181aaeb5ca9b.jpg,DFSP,900,1261,368,558,567,854,467.5,706.0,train
dfsp-1.jpg,DFSP,640,480,162,173,253,272,207.5,222.5,train
13256_2022_3728_Fig6_HTML.jpg,DFSP,896,674,205,142,747,603,476.0,372.5,train
dfsp_new_03.jpg,DFSP,602,703,236,257,394,457,315.0,357.0,train
a.jpg,DFSP,265,239,46,24,220,205,133.0,114.5,train
Dermatofibrosarcoma-Protuberans-DFSP.jpg,DFSP,380,253,118,56,235,157,176.5,106.5,train
images (3).jfif,DFSP,516,387,170,61,457,265,313.5,163.0,train
ch908.fig2_.jpg,DFSP,2048,1536,1215,459,1545,843,1380.0,651.0,train
dfsp_new_02.jpg,DFSP,595,461,116,175,373,280,244.5,227.5,train
28704tn.jpg,DFSP,380,247,103,70,284,202,193.5,136.0,train
1680248971237.jfif,DFSP,711,720,323,201,437,389,380.0,295.0,train
CCR3-10-e6218-g001.jpg,DFSP,551,847,215,380,489,614,352.0,497.0,train
images.jfif,DFSP,497,402,209,189,246,231,227.5,210.0,train
gr1 (1).jpeg,DFSP,1587,1395,797,542,1140,790,968.5,666.0,train
2419ccaec8b0f0a4ccf42afb951d11395dbec702.jpg,DFSP,350,284,150,104,185,137,167.5,120.5,train
dfsp_new_05.jpg,DFSP,982,785,397,193,681,443,539.0,318.0,train
dfsp-001.jpg,DFSP,640,480,162,137,429,358,295.5,247.5,train
1853-0605-82-1-165-g002.jpg,DFSP,576,1280,236,434,404,656,320.0,545.0,train
dfsp_new_08.jpg,DFSP,1357,877,475,262,913,532,694.0,397.0,train
10aff3f551ffe66caa6af4564a3a81b787aa844c.png,DFSP,1008,756,531,308,690,460,610.5,384.0,train
dermatofibrosarcoma04_fee391183f15cb4d62773032fe0be92d.jpg,DFSP,600,450,184,96,518,332,351.0,214.0,train
s.jpg,DFSP,268,238,32,35,230,200,131.0,117.5,train
bg.jpeg,DFSP,1088,685,380,223,598,402,489.0,312.5,train
images (2).jfif,DFSP,447,447,209,123,335,242,272.0,182.5,train
dfsp_new_04.jpg,DFSP,342,211,121,63,219,139,170.0,101.0,val
Dermatofibrosarcoma-protuberans-clin_fee391183f15cb4d62773032fe0be92d.jpg,DFSP,1118,868,370,324,831,639,600.5,481.5,val
v.jpg,DFSP,268,239,69,19,224,217,146.5,118.0,val
dfsp_new_07.jpg,DFSP,1287,898,469,303,849,605,659.0,454.0,val
SAJC-2-232-g006.jpg,DFSP,517,245,95,62,412,216,253.5,139.0,val
953a73dedfdc008ef30ab6dfd92a713e852aabdc.png,DFSP,740,555,103,85,575,355,339.0,220.0,val
jcad_1_1_34_g001.jpg,DFSP,787,590,212,184,568,486,390.0,335.0,val
nihms-992287-f0002.jpg,DFSP,261,239,40,23,216,220,128.0,121.5,test
dermatofibrosarcoma010_2615addf7111d83624b7a7a5f3466fb3.jpg,DFSP,300,300,101,51,268,221,184.5,136.0,test
fonc-13-1100398-g001.jpg,DFSP,779,548,277,177,513,382,395.0,279.5,test
dermatofibrosarcoma02_fee391183f15cb4d62773032fe0be92d.jpg,DFSP,500,333,176,122,339,242,257.5,182.0,test
dermatofibrosarcoma07_fee391183f15cb4d62773032fe0be92d.jpg,DFSP,600,450,324,165,484,382,404.0,273.5,test
cureus-0017-00000097887-i01.jpg,DFSP,750,561,281,67,576,448,428.5,257.5,test
faf.jpg,DFSP,899,875,255,350,554,567,404.5,458.5,test
screenshot_231717.jpg,DFSP,367,241,177,125,212,158,194.5,141.5,train
screenshot_231729.jpg,DFSP,366,242,83,49,267,189,175.0,119.0,train
screenshot_102449.jpg,DFSP,473,317,204,115,271,215,237.5,165.0,train
screenshot_231647.jpg,DFSP,372,233,145,71,238,174,191.5,122.5,train
screenshot_233308.jpg,DFSP,337,248,97,64,197,184,147.0,124.0,val
screenshot_102500.jpg,DFSP,473,317,144,67,323,281,233.5,174.0,test
