image,label,width,height,center_x,center_y
images (1).jfif,DFSP,441,453,195,228
3cbad824fdb2d890bd6eeee36e42d3a5a2e09259.png,DFSP,777,509,280,264
dfsp_new_01.jpg,DFSP,421,327,223,190
fe.jpg,DFSP,261,236,135,102
dfsp_new_06.jpg,DFSP,1212,882,562,444
Ekran görüntüsü 2026-08-07 231717.jpg,DFSP,367,241,192,138
dfs.jpg,DFSP,640,480,338,284
Ekran görüntüsü 2026-08-07 231729.jpg,DFSP,366,242,172,118
d.jpg,DFSP,262,234,122,111
gr1.jpeg,DFSP,1052,729,442,220
616a066c94c46be062cec541d0f4181aaeb5ca9b.jpg,DFSP,900,1261,466,726
dfsp-1.jpg,DFSP,640,480,289,278
13256_2022_3728_Fig6_HTML.jpg,DFSP,896,674,532,291
dfsp_new_03.jpg,DFSP,602,703,313,352
a.jpg,DFSP,265,239,129,115
Dermatofibrosarcoma-Protuberans-DFSP.jpg,DFSP,380,253,190,115
images (3).jfif,DFSP,516,387,279,193
ch908.fig2_.jpg,DFSP,2048,1536,1376,638
dfsp_new_02.jpg,DFSP,595,461,249,216
28704tn.jpg,DFSP,380,247,171,139
1680248971237.jfif,DFSP,711,720,375,309
CCR3-10-e6218-g001.jpg,DFSP,551,847,351,521
images.jfif,DFSP,497,402,225,210
gr1 (1).jpeg,DFSP,1587,1395,950,660
2419ccaec8b0f0a4ccf42afb951d11395dbec702.jpg,DFSP,350,284,168,119
dfsp_new_05.jpg,DFSP,982,785,540,311
dfsp-001.jpg,DFSP,640,480,285,244
1853-0605-82-1-165-g002.jpg,DFSP,576,1280,304,558
Ekran görüntüsü 2026-08-08 102449.jpg,DFSP,473,317,236,161
dfsp_new_08.jpg,DFSP,1357,877,693,403
10aff3f551ffe66caa6af4564a3a81b787aa844c.png,DFSP,1008,756,609,386
dermatofibrosarcoma04_fee391183f15cb4d62773032fe0be92d.jpg,DFSP,600,450,334,219
s.jpg,DFSP,268,238,129,117
Ekran görüntüsü 2026-08-07 231647.jpg,DFSP,372,233,182,115
bg.jpeg,DFSP,1088,685,478,314
images (2).jfif,DFSP,447,447,267,182
