epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.14297,1.17432,2.40075,1.54624,0.76163,0.83333,0.88893,0.62952,1.43151,1.39821,1.27486,0,0,0
2,6.0559,0.91416,2.28678,1.26961,0.76163,0.83333,0.88893,0.62952,1.43151,1.39821,1.27486,3.57397e-05,3.57397e-05,3.57397e-05
3,8.85277,0.89295,1.93805,1.21523,0.76163,0.83333,0.88893,0.62952,1.43151,1.39821,1.27486,6.36253e-05,6.36253e-05,6.36253e-05
4,11.7955,1.15504,2.53805,1.48589,0.796,0.74525,0.87433,0.61836,1.48713,1.56811,1.33444,8.3657e-05,8.3657e-05,8.3657e-05
5,14.5975,0.7392,1.18581,1.0595,0.796,0.74525,0.87433,0.61836,1.48713,1.56811,1.33444,7.1876e-05,7.1876e-05,7.1876e-05
6,17.4788,0.93307,1.34227,1.30634,0.796,0.74525,0.87433,0.61836,1.48713,1.56811,1.33444,6.0095e-05,6.0095e-05,6.0095e-05
7,20.2899,0.71192,1.58105,1.10702,0.75739,0.74704,0.8884,0.58857,1.52702,1.63932,1.38279,4.8314e-05,4.8314e-05,4.8314e-05
8,23.1186,0.69222,0.8987,1.11261,0.75739,0.74704,0.8884,0.58857,1.52702,1.63932,1.38279,3.6533e-05,3.6533e-05,3.6533e-05
9,25.8951,0.94804,1.89192,1.31385,0.75739,0.74704,0.8884,0.58857,1.52702,1.63932,1.38279,2.4752e-05,2.4752e-05,2.4752e-05
10,28.801,0.78625,1.3064,1.16694,0.7514,0.75,0.86973,0.59037,1.53307,1.6859,1.38088,1.2971e-05,1.2971e-05,1.2971e-05
